id,name,company_type,email,phone,mobile,street,street2,city,zip,country_id/name,category_id/name,comment
steamships_demo.partner_pacific_cargo,Pacific Cargo PNG Ltd,company,info@pacificcargopng.example.com,+675 7000 1100,+675 7100 1101,Markham Road Section 41,Lot 12 Industrial Area,Lae,P.O. Box 1234,Papua New Guinea,"Demo Client,Shipping","Top shipping client in Lae. Frequent FCL moves Lae->POM. Referred by PNG Customs broker network. Demo contact: Anna Korowa."
steamships_demo.partner_lae_marine,Lae Marine Services,company,contact@laemarineservices.example.com,+675 7000 1200,+675 7100 1201,Harbour Road,Tetangga Compound,Lae,P.O. Box 2789,Papua New Guinea,"Demo Client,Stevedoring","Long-term stevedoring customer. Works mainly with tug and stevedoring service line. Demo contact: James Wambi."
steamships_demo.partner_pom_retail,Port Moresby Retail Group,company,enquiries@pomretail.example.com,+675 7000 1300,+675 7100 1301,Garnett Street Section 56,Dtown Plaza Tower B,Port Moresby,P.O. Box 1011,Papua New Guinea,"Demo Client,Retail,Property","Retail chain with 6 stores across NCD. Interested in warehouse storage + office lease. Demo contact: Maryanne Igime."
steamships_demo.partner_rabaul_hw,Rabaul Hardware Supplies,company,sales@rabaulhardware.example.com,+675 7000 1400,+675 7100 1401,York Street Section 34,Behind Rabaul Market,Rabaul,East New Britain,Papua New Guinea,"Demo Client,Hardware","Hardware retailer in East New Britain. Needs container FCL shipments from Lae. Demo contact: Peter Kamong."
steamships_demo.partner_madang_fish,Madang Fisheries Export Ltd,company,export@madangfisheries.example.com,+675 7000 1500,+675 7100 1501,Madang Wharf Road,Section 12 Industrial,Madang,Madang Province,Papua New Guinea,"Demo Client,Fisheries","Cold chain customer. Exports seafood to Asia. Needs reliable cold storage and port handling. Demo contact: Theresa Aisa."
steamships_demo.partner_kimbe_agro,Kimbe Agro Trading,company,hello@kimbeagro.example.com,+675 7000 1600,+675 7100 1601,Kimbe Town Main Road,Section 8,Kimbe,West New Britain,Papua New Guinea,"Demo Client,Agriculture","Palm oil and cocoa trader. Bulk LCL and shared warehouse storage. Demo contact: Robert Yama."
steamships_demo.partner_highlands_construction,Highlands Construction Group,company,tenders@highlandsconstruction.example.com,+675 7000 1700,+675 7100 1701,Hagen Drive Section 22,Gordons Ridge,Mt Hagen,Western Highlands,Papua New Guinea,"Demo Client,Construction","Major contractor in Highlands region. Heavy equipment FCL + office lease in Mt Hagen. Demo contact: Susanne Pake."
steamships_demo.partner_coral_sea,Coral Sea Hospitality Ltd,company,reservations@coralseahospitality.example.com,+675 7000 1800,+675 7100 1801,Ela Beach Road Section 19,Coral Sea Plaza,Port Moresby,P.O. Box 555,Papua New Guinea,"Demo Client,Hospitality","Hotel and conference operator. Buys corporate accommodation + conference packages. Demo contact: Henry Aopi."
steamships_demo.partner_jv_colgate,JV Colgate Palmolive PNG Demo,company,demo@jvcolpalpng.example.com,+675 7000 1900,+675 7100 1901,Motu Koita Boulevard Section 110,NCD Industrial Estate,Port Moresby,P.O. Box 4040,Papua New Guinea,"Demo Client,Joint Venture","Joint venture demo entity. Used to showcase JV shared service admin and logistics handling products. Demo contact: Linda Tup."
steamships_demo.partner_png_office,PNG Office Leasing Co,company,leasing@pngofficeleasing.example.com,+675 7000 2000,+675 7100 2001,Waigani Drive Section 200,Waigani Central,Port Moresby,P.O. Box 8080,Papua New Guinea,"Demo Client,Property","Landlord for CBD office towers. Buys office and retail lease services from Steamships Property division. Demo contact: Michael Yali."